1	Huzza! Huzza! cried the Court; and the little Princess laughed with pleasure.	0
2	'I am no son of thine, for thou art a beggar, and ugly, and in rags.	1
3	Conversation, indeed! said the Rocket.	8
4	It was the farthest corner of the garden, and in it was standing a little boy.	1
5	And at last he spoke to her, and his voice was hard and bitter.	2
6	Sweet-william grew there, and Gilly-flowers, and Shepherds'-purses, and Fair-maids of France.	0
7	Well, that is his loss, not mine, answered the Rocket.	8
8	My little boy has fallen off a ladder and hurt himself, and I am going for the Doctor.	3
9	The snow lay thick upon the ground, and upon the branches of the trees: the frost kept snapping the little twigs on either side of them, as they passed: and when they came to the Mountain–Torrent she was hanging motionless in air, for the Ice–King had kissed her.	6
10	I certainly will not allow Hans' nature to be spoiled.	4
11	OLD Stick! said the Rocket, "impossible! GOLD Stick, that is what he said.	6
12	So he ran in, filled with wonder and great gladness.	0
13	She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end.	8
14	And when he came quite close his face grew red with anger, and he said, "Who hath dared to wound thee?"	2
15	So the Star–Child went to the wood, and all day long he searched for the piece of red gold, but nowhere could he find it.	7
16	And a great terror seized upon him, and he said to the weaver, 'What robe is this that thou art weaving?'	3
17	'We often talked of you during the winter, Hans,' said the Miller, 'and wondered how you were getting on.'	8
18	The poor tree was still quite covered with frost and snow, and the North Wind was blowing and roaring above it.	1
19	It is quite evident that you have always lived in the country, answered the Rocket, "otherwise you would know who I am.	2
20	During the spring, the summer, and the autumn he was very happy, but when the winter came, and he had no fruit or flowers to bring to the market, he suffered a good deal from cold and hunger, and often had to go to bed without any supper but a few dried pears or some hard nuts.	1
21	He is a perfect monster, and would have no hesitation in breakfasting off them.	5
22	He was wrapped in furs, and he roared all day about the garden, and blew the chimney- pots down.	2
23	Wherefore I must go hence, and wander through the world till I find her, and she give me her forgiveness.'	7
24	The bride and bridegroom, for instance, love each other very dearly.	4
25	It is what I call selfishness, and selfishness is a most detestable thing, especially to any one of my temperament, for I am well known for my sympathetic nature.	4
26	Indeed, he was as one enamoured of beauty, and would mock at the weakly and ill–favoured, and make jest of them, and himself he loved, and in summer, when the winds were still, he would lie by the well in the priest’s orchard and look down at the marvel of his own face, and laugh for the pleasure he had in his fairness.	0
27	Here indeed is the true lover, said the Nightingale.	0
28	My roses are yellow, it answered, "as yellow as the hair of the mermaiden who sits upon an amber throne, and yellower than the daffodil that blooms in the meadow before the mower comes with his scythe.	0
29	He had bright beady eyes and stiff grey whiskers and his tail was like a long bit of black india-rubber.	4
30	For a red rose? they cried, "how very ridiculous!" and the little Lizard, who was something of a cynic, laughed outright.	5
31	But they have not lost their only son, said the Roman Candle; "no misfortune has happened to them at all."	6
32	And he bound the eyes of the Star–Child with the scarf of figured silk, and led him through the house, and through the garden of poppies, and up the five steps of brass.	6
33	'My dear friend, my best friend,' cried little Hans, 'you are welcome to all the flowers in my garden.	0
34	'How well you talk'! said the Miller's Wife, pouring herself out a large glass of warm ale, 'really I feel quite drowsy. 	0
35	Give me a red rose, she cried, "and I will sing you my sweetest song."	7
36	If they had lost their only son there would be no use in saying anything more about the matter.	1
37	It is so beautiful that I am sure it has a long Latin name"; and he leaned down and plucked it.	4
38	And the Squirrel answered, 'Thou hast slain mine.	1
39	There is no good talking to him, said a Dragon-fly, who was sitting on the top of a large brown bulrush; "no good at all, for he has gone away."	6
40	'Bare he not upon his neck a chain of amber?	7
41	'Nay,' he cried, laughing, 'but we will sell the foul thing for a slave, and his price shall be the price of a bowl of sweet wine.'	0
42	I don't understand you, answered the Water-rat.	5
43	But the Tree cried to the Nightingale to press closer against the thorn.	3
44	You are blind now, he said, "so I will stay with you always."	4
45	'Why! there is a crook of gold for whoever finds it,' they cried, and they set to and ran, so eager were they for the gold.	7
46	Bitter, bitter was the pain, and wilder and wilder grew her song, for she sang of the Love that is perfected by Death, of the Love that dies not in the tomb.	1
47	But the leper entreated him, and prayed of him, till the Star–Child had pity, and gave him the piece of white gold.	4
48	But the Roman Candle and the Bengal Light were quite indignant, and kept saying, "Humbug! humbug!" at the top of their voices.	2
49	'Hans,' said the Miller, 'I will give you my wheelbarrow.	7
50	Wherefore I will go and seek her through the whole world, nor will I rest till I have found her.'	7
51	Over his face hung a cowl of grey linen, and through the eyelets his eyes gleamed like red coals.	8
52	So the woman rose up, and went away into the forest weeping bitterly, and when the Star–Child saw that she had gone, he was glad, and ran back to his playmates that he might play with them.	6
53	'Well, really,' answered the Miller, 'as I have given you my wheelbarrow, I don't think that it is much to ask you for a few flowers.	2
54	That is the new method.	7
55	No red rose in all my garden! he cried, and his beautiful eyes filled with tears.	1
56	After some time a large White Duck swam up to him.	6
57	But where is your little companion? he said: "the boy I put into the tree."	7
58	Suddenly, a sharp, dry cough was heard, and they all looked round.	6
59	I suppose they are reserving me for some grand occasion, said the Rocket; "no doubt that is what it means," and he looked more supercilious than ever.	5
60	There is neither society here, nor solitude.	1
61	You must tell him to be sure and come here tomorrow, said the Giant.	7
62	Therefore get thee hence, and let me see thy foul face no more.'	2
63	And who knows if it will not bring us bad fortune?	3
64	Hallo! he cried, "what a bad rocket!" and he threw him over the wall into the ditch.	2
65	Now, if you could plough the fields like the ox, or draw a cart like the horse, or look after the sheep like the collie-dog, that would be something."	8
66	Is the story about me? asked the Water-rat.	0
67	I have no sympathy myself with industry of any kind, least of all with such industries as you seem to recommend.	2
68	It floated through the reeds of the river, and they carried its message to the sea.	4
69	Was not round him a cloak of gold tissue broidered with stars?'	7
70	What a strange thing! said the overseer of the workmen at the foundry.	6
71	He had six attendants with him, each of whom carried a lighted torch at the end of a long pole.	8
72	Why, indeed? whispered a Daisy to his neighbour, in a soft, low voice.	6
73	Now at the gate of the city there was seated one who was a leper.	5
74	'It has certainly been a hard day,' said little Hans to himself as he was going to bed, 'but I am glad I did not refuse the Miller, for he is my best friend, and, besides, he is going to give me his wheelbarrow.'	0
75	'They are certainly very lovely,' said Hans, 'and it is a most lucky thing for me that I have so many.	0
